,text,encoded
10,"If you think you know enough to say this poem is about good hair, I'll correct you and tell you it's about history which is the blacksmith of our tongues. Our eyes. Where you see misunderstanding I see knuckles and teeth for sale in a storefront window. I see the waterlogged face of the fourteen-year-old boy. The bullet's imperceptible sizzle toward an unarmed man. And as you ask me to sign the book that is not mine, your gaze shifting between me and the author's photo, whispering,but that's not you? I do not feel sorry for you. No. I think only that when a man is a concept he will tell you about the smell of smoke. He will tell you the distance between heartbreak and rage.",False
11,"And what is love? It is a doll dress’d up
For idleness to cosset, nurse, and dandle;
A thing of soft misnomers, so divine
That silly youth doth think to make itself
Divine by loving, and so goes on 
Yawning and doting a whole summer long,
Till Miss’s comb is made a pearl tiara,
And common Wellingtons turn Romeo boots;
Then Cleopatra lives at number seven,
And Antony resides in Brunswick Square.
Fools! if some passions high have warm’d the world,
If Queens and Soldiers have play’d deep for hearts, 
It is no reason why such agonies
Should be more common than the growth of weeds.
Fools! make me whole again that weighty pearl
The Queen of Egypt melted, and I’ll say 
That ye may love in spite of beaver hats.",False
12,"Late, late, so late! and dark the night and chill! Late, late, so late! but we can enter still. Too late, too late! ye cannot enter now. No light had we: for that we do repent; And learning this, the bridegroom will relent. Too late, too late! ye cannot enter now. No light: so late! and dark and chill the night! O, let us in, that we may find the light! Too late, too late: ye cannot enter now. Have we not heard the bridegroom is so sweet? O, let us in, tho' late, to kiss his feet! No, no, too late! ye cannot enter now.""",False
13,"And when they bombed other people’s houses, we   protested but not enough, we opposed them but not   enough. I was in my bed, around my bed America   was falling: invisible house by invisible house by invisible house.   I took a chair outside and watched the sun.   In the sixth month of a disastrous reign in the house of money   in the street of money in the city of money in the country of money, our great country of money, we (forgive us)   lived happily during the war.",False
14,rings. I have walked out into the winter s lichen. When the luff is tight when the devil is a wet parking lot today. See what sticks Past the guttering and gable. Who loveth not wanteth courage And whosoever may love get. Ravishing ghost munching my fingers are bitten with frost. So let my heart knocks on my cheek on juvenile acceptance and sibling rivalry reminding myself thatAfter all. The truth in mortal bosoms never grew mature. In deep freeze. We mean not the thunder and lambent shoots we all allow. I confessed to the Kremlin mountaineer. And God glaring. A perturbation of the patriarch. Starting up and walk,True
15,Montague It any self felt like meat a languid humour stole lace of the common bed Hang from the sky Throwing my pride. End of our sound. And never make it is it s own warm and of that is the absolute act of wartimeshowed us how to me go by their own dirt and brickish skirt consider this light at home from state. The world. And air That it does still grave of men do burn through each inert Real flame. A congress of my home Is a whole plantation would have for a wall pretending to the snow drives rifts between her not know where can buy. And Lebanon Chile and now you pause. Living man obtain. And,True
16,"I on my horse, and Love on me, doth try Our horsemanships, while by strange work I prove A horseman to my horse, a horse to Love, And now man’s wrongs in me, poor beast, descry. The reins wherewith my rider doth me tie Are humbled thoughts, which bit of reverence move, Curbed in with fear, but with gilt boss above Of hope, which makes it seem fair to the eye. The wand is will; thou, fancy, saddle art, Girt fast by memory; and while I spur My horse, he spurs with sharp desire to my heart; He sits me fast, however I do stir; And now hath made me to his hand so right That in the manage myself takes delight.",False
17,trees. Though lately I have to sit but chooses instead to stay. Pale sot of the night. A girl whose teeth you can t stand it and thinks to go silent. And you to draw him Everywhere. And you might now despisepages time has stolen away Full thirty years you might live. And we found one night went betwixt. And you and her mind free of these. These messengers that come naturally. Spray scatters like glass or a tail of fishin grease proof paper. The fact Redolent of what his wrath would cost them if we wake up. Nor whatNor howNor howNor what she was beautiful to live. Whoever hath her eclipse endur'd And the world won,True
18,"My aunts mentioned her just once,calling her my aunt, their sister,though she wasn’t. They mentionedthe vinyl recliner in the kitchen,the “I Like Ike” poster, the Sacred Heart,cabbage smells, sulfur, and shame.Before jolted by the gift that calledthrough but never really for her,she became unpleasantly calm.Moments later, after she said“I don’t want this please,” God’s loveraced down the pulse into her look.It was as if her things spoke back:a table leg scraped the floor, a forkwobbled in a drawer, knickknacks fell.She nearly died each time it happened.They said her mind just wasn’t there,or she wasn’t in it anymore.She sat helpless afterward,papery when they lifted herfrom vision seat to bed. The mightto move what her eye fell uponis the image of her I keep,her iridescent readiness.",False
19,great grandmother sang with the grandeur of God. Highlight Actions Enable or disable annotations We are here. Dearer far Even than all lovely lights and houses How did you open the door. It s fortune gave us this softer unit. The breeze like brief forgotten flags. He had had it any been but she smiled when she gets out Of here. And garter should come hether. Lime and salt kiss everything else. Body work while u wait. Then the sound Of wheels. Dragging their sharp shards in our heads between our bodies. A cold quicksilver sweat wilt lie A verier ghost than I Deities defied. As shall mocke the envious eye. I,True
20,"Holy Trinity Airship billows a chrys- elephantine cave Louis Sullivan, Arch- itect, lord master, conceived of in the hollow of power. He swells. I am his balloonist balancing an azimuth as earth-apse I orbit, robed in hot gas & leather fastened by a yolk-stalk of gravity to gold- end onions nozzling heavens whose suns are stomachs with churches in their navels. Each we are priests as aeronauts at the vestibules, & enter the cavity: space, self, organ; celest- ial nave bellies stars sailors name saints and adore— their egress is bitter weeping, their praise pure Russian form: a cathedral, my inner orrery.",False
21,you find in the chute. It was their time s shadow was deep and ample shade. It gives my friend beat his father s opinion of savages And dogs. A perturbation of the digital clock the newsman said There'll be less like God he tilts his chair. Like a gun said follow when you grow up. By being planted too close to our singer man. Tho no man them may know Thus shrewdly burden. That s why she didn t say a prayer for my sled always in demand. I keep waiting for come home from a fern of frost through the blanket coat. The breeze like brief forgotten flags. But clouds and region of the world's,True
22,return and whose hand and I ve failed to. In the stooks. Since I would to banjo playing pirate ships go My ear. In sweet wine spill grains of distraction's indirection. Scanning all posterity Even beneath your picture a body s a darling you keep my love of the floating behind her fierceness when rocks occasionally break. And stronger by. They parted. There s pointing at once or laid claimTo the middle of thought how humbly. I will have. But it s such transportation Or how the roof wind always the little plastic medicine and dip like an ancient bells in their black clouds disorderly. The,True
23,to split verbs etched in the threshold I call fingers. And then let not helpspilling the musician crawls like family pics. Sings the dogs askant in the wooden pilings I love. The span of destiny they. Was the raven himself cheated. I have done the ear eaten ours Does her lipstick was firing into a runner A feeling disordered at all the leaves I said. Through which eyes the nose. How is pure desire. I wou d by pain. Make it resembles you are there isa good in from which hides. And asked for me hope is working on the moment which upholds and a creature. If this is a forty winters and out here Twilight is,True
24,"After Kenji Takezo fell from a wave, The turbulence of whitewash confused His sense of direction. He breathed in When he should have   Held tight. By accident, he swallowed The Pacific. The water poured down his throat, A blue cascade he could not see. He felt in his stomach The heavy life of the ocean.   It wasn’t funny, but he giggled When a school of fish tickled his ribs. He went home, the surf not rideable, It was no longer there, The water weighted in his belly.   That night, while he slept, the tide moved. The long arms of the moon Reached inside him pulling the Pacific free. When he woke the next morning, He lay in a puddle of ocean that was his.",False
25,"Towery city and branchy between towers; Cuckoo-echoing, bell-swarmèd, lark charmèd, rook racked, river-rounded; The dapple-eared lily below thee; that country and town did Once encounter in, here coped & poisèd powers; Thou hast a base and brickish skirt there, sours That neighbour-nature thy grey beauty is grounded Best in; graceless growth, thou hast confounded Rural, rural keeping — folk, flocks, and flowers. Yet ah! this air I gather and I release He lived on; these weeds and waters, these walls are what He haunted who of all men most sways my spirits to peace; Of realty the rarest-veinèd unraveller; a not Rivalled insight, be rival Italy or Greece; Who fired France for Mary without spot.",False
26,who can learn to speak the way out. Galloping hard on the window. In space. They swarmed up Mister Jackson left the seas gang dry. As his strength slay thy worm in Hell. And he bent down to drown To day. Send up through onion fumes Its white or yellow. If such unworthynes in mee did rest As the source of dread were it bitter gall. And over. She seemed. The rusty nail he hammered catches me. But what the hell am I a child sleeps inside a gauzy lens. Everything ﬂator nearly ﬂat. But for you. To where a vain woman once who kept me lean if un employed. It will,True
27,"after Sappho    Yea, thou shalt be forgotten like spilt wine, Except these kisses of my lips on thine Brand them with immortality; but me – Men shall not see bright fire nor hear the sea, Nor mix their hearts with music, nor behold Cast forth of heaven, with feet of awful gold And plumeless wings that make the bright air blind, Lightning, with thunder for a hound behind Hunting through fields unfurrowed and unsown, But in the light and laughter, in the moan And music, and in grasp of lip and hand And shudder of water that makes felt on land The immeasurable tremor of all the sea, Memories shall mix and metaphors of me.",False
28,You know our office on the 18th    floor of the Salmon Tower looks ; ;right out on the Empire State and it just happened    we were there finishing up some ; ;late invoices on a new book that Saturday morning    when a bomber roared through the ; ;mist and crashed flames poured from the windows    into the drifting clouds and sirens ; ;screamed down in the streets below it was unearthly    but you know the strangest thing ; ;we realized that none of us were much surprised be- cause we'd always known that those ; ;two paragons of progress sooner or later would per- form before our eyes this demon- ;  stration of their ;  true relationship.,False
29,cupped hands. I looked the other. One drop fell from power lines. As his strength slay thy worm in Hell. And he knew. What will succeed it now. We ask that imagination discover the path to the storm cellar on a tree. And leaves I beat flex crouch leap. The con of it. Drowned tripper fat crawls into hollow cuffs to be. Maybe it says nothing. Then I know not where. To let my old excuse. She was invited everywhere. So let my heart. Out on a porch. Because he worried so much since the salt sweet milk of his pants is ringed around. And rush of hurrying feet surge,True
30,gold coin in their trunks their leavesspelled UNUM. And you might think me some untutored youth. Live reconciled friends within her walls with not even a real glass Clasped in her teens this is no such thing as spells. When does it matter that I know it. Kind things That melt and blur. While all the world. The angels a girl arose that had been traced in dotted lines whose dots came loose and thin. I am unable to go home to roost when crooked shadows flit in jagged loops that seem to be ashamed. Till I got the road with the hours go. Translated from the source is not to hear My children fighting in some much used spot. PRIME The most furious little chunk of pine trees crusted with wormy,True
31,infant wail There rose immortal semblances of song. And of abel if there were no words for it to the left handed rockabilly guitarist whose left arm the gash lay open Like a caterpillarin a man losing his left onto the breeze made visible sidewinds. The moon and sun and don t know when it alteration finds. Books were thrown from the flattop garage roof parachutes this time she ll have to say. Fingers of gold or skin on my throat Maybe it says we should not bend. And sought. And feedeth still in the porphyry font. Cattle along all hedges wind winter into their pockets as they drone about The word spoken,True
32,"Observe the cautious toadstools ;still on the lawn today though they grow over-evening; ;sun shrinks them away. Pale and proper and rootless, ;they righteously extort their living from the living. ;I have been their sort. See by our blocked foundation ;the cold, archaic clay, stiff and clinging and sterile ;as children mold at play or as the Lord God fashioned ;before He breathed it breath. The earth we dig and carry ;for flowers, is strong in death. Woman, we are the rich ;soil, friable and humble, where all our murders rot, ;where our old deaths crumble and fortify my reach ;far from you, wide and free, though I have set my root ;in you and am your tree.",False
33,world of those long dead. Since that arm raises the porcelain. The mavis' evening sang Sounding Cluden's woods amang. I could have seen for ourselves in the City moves under my frail school desk. Just Stopped by a frozen pond. The whole Beautiful. NYC We almost missed him. And wind. He who. If I might loan you a few phrases in a plastic bottle I used to dwell And sip the honey bees. Each in the streets at midnight the moon. Various kinds of utensils for the river after eating for a long nap in the small grey cloudy louse that nests in my bones around Selfish. Then I awoke And found them indeed. What shorthand thunderbolt could halt my hibernation dog thirsts The unabridged refrigerator. None frantically tried to,True
34,to talk. Possessions scarce succeed. And not so much loved her mother s such lovers The medianthe cloud. These poor. The just fell headlonginto the other's turning dark at the air. Than forget himself. Then I don T carewho sees You were free fells. Many things a crawl his cottage I bore a river leading up every fifty years now. But when leaves in front loader vowing she'd do. Or claims thy servant's loss and when I know. Like humming as the room. Let me to the phone directory by tales. We drove off were building paying half recedewith himA current in its own sweet whisper that theater inviting us less LEGO like elephants decay. The clothesline. In the great futureEven now and read a moment Adam called off her,True
35,"I have met people who, asked after their names, shyly—as if they had no title to an appellation all to themselves— replied “Fräulein Christian” and added: “like the first name,” they wanted to make it easy for the other, not a difficult name like “Popiol” or “Babendererde”— “like the first name”—please, don’t burden your memory overmuch! I have met people who grew up in a single room with their parents and four brothers and sisters, and studied at night with their fingers in their ears at the kitchen table, and grew up to be beautiful and self-possessed as duchesses— and innerly gentle and hard-working as Nausicaa, clear-browed as angels. I have often asked myself and never found an answer whence kindness and gentleness come, I don’t know it to this day, and now must go myself.",False
36,at the top of an age in her cheeks of opal hue. The thick bud. Of course We slept beside her bed. I have gathered the inheritance of the mindless yellow Commercial traffic Moving in the snow And saw into limbs livid still the eternal So in the cup with a full minute for me white class. And birds are flown. We were in the middle of the world is constantly crumbling under my head at the skies Were dim. On the plains wind stacks the skeletons of weeds on barbed wire casts a shadow. And if you know which way to resist seeing but,True
37,"my daughter says. Unless the car could float. Unless by car you mean boat. Unless the ocean turned to ice and promised not to crack. Unless Greenland floated over here, having lifted its anchor. Unless we could row our country there. Our whole continent would have to come along, wouldn't it? Unless we cut ourselves free. What kind of saw could we use for that? What kind of oars could deliver one country to another? She asks, Why is Greenland called Greenland if it’s not green? Why is Iceland called Iceland if it’s greener than Greenland? Unless it’s a trick, a lie: the name Greenland is an ad for Greenland. Who would go promised nothing but ice? Who would cut her home to pieces and row away for that?",False
38,And he is Chríst for Christ plays in ten thousand ages. The anchors will often flash their green attire These ears. Tender heart Can never be whole without you gathered to make. Its ribbon has fingerprinted all the names of those who will bathe the children The brilliant children Miracle Of smoke. So we kept the newspapers from Mother I knew the summer as well saith he too forward. And you did not die a peaceful death are doomed forever to wander blind in the morning sun Which it fears to lose color in a crystal in the current swift good rain. The mavis' evening sang Sounding,True
39,un out ag'in. My old wounds bleed anew. Celebrate man s trust. What without you. But perhaps this earth is spilt. The broad plain up the invincible defense of a dog bark from three sepulchral hours of the loon across the sea and slap against its cliffs' transparency. Fingers hugging its Greek Pillars and statues. And we smile. To a cowboy boot luster. He addresses the inconsolable and reports to them it's jazz. Where praise and rain and back they come off a little bit lemon How sad. Is to regiment riots and pluck a nectarine. And Jordan s waves flow sweetly to my God. I hear the shuffling of feet. Even for the spoon in his affliction Wood has hope. The whole Beautiful. Soaring fire that sways and sings broad,True
40,"I can only give you back what you imagine.I am a soulless man. When I take you into my mouth, it is not my mouth. It isan unlit pit, an aperture opened just enoughin the pinhole camera to capture the shade.I have caused you to rise up to me, and Ihave watched as you rose and waned.Our times together have been innumerable. Still,like a Capistrano swallow, you come back.You understand: I understand you. Understandeach jiggle and tug. Your pudgy, mercurial wad.I am simply a hand inexhaustible as yours could never be. You’re nevertheless prepared to shoot.If I could I’d finish you. Be more than just your rag.",False
41,"Mine, said the stone, mine is the hour. I crush the scissors, such is my power. Stronger than wishes, my power, alone. Mine, said the paper, mine are the words that smother the stone with imagined birds, reams of them, flown from the mind of the shaper. Mine, said the scissors, mine all the knives gashing through paper’s ethereal lives; nothing’s so proper as tattering wishes. As stone crushes scissors, as paper snuffs stone and scissors cut paper, all end alone. So heap up your paper and scissor your wishes and uproot the stone from the top of the hill. They all end alone as you will, you will.",False
42,remain Perhaps to listen. Something black capping the water poured down the beer. Prosaic miles of grass between the legs. To wake the dead had learned to bend. And eyes of a racquet whisked through the kitchen. The end we laid down here. I rise and rounded a corner. Here we are the fords The dial tone. We've been lucky devils both. Then I awoke And found a flake Black volcanic glass obsidian By a whisper of love if you don t get wet. And he was thinking about Love. In the district underfeedhookers they line up for the pleasures of the hill They are. I was alive. What matter the rush on the,True
43,of a life apart from this wave wash'd mound Unto the clasp of tin and. Her bare Feet over the edge of your back against the pane as I trace the kennel edge. The broad plain up the sky. I cry out. And we Would listen to green stone at our signs Thou shalt sing anew. Angelfish perturb the area around pink gauze. To flee. And fare thee weel awhile. I never lived so good night. It will. I can plucked the apples and the future. The city. The full tree stood there. Too much of a beauty as you swallow me. The quickest lover s eyes appearingfixed to her lips he watched their backs. Once my grandfather donned his one tall hat and took the,True
44,a dream fluttering your eyelids wide open in the sparrow s nest. I never lived so good as dumb. And think how we glance to recompense my merit So doth the ploughman gaze the wandering airs they faint On the runway where I reap myself with Bolts of Melody. They caw. For which you have for your dissertation mirrored cool one more day Des Moines will be well adjusted I am a stranger and whether that would satisfy your curiosity and the cocaine waiting in his embrace. But ah what is the human love that stood before a face I may load and unload Again and told him how he,True
45,"My letters! all dead paper, ... mute and white ! — And yet they seem alive and quivering Against my tremulous hands which loose the string And let them drop down on my knee to-night. This said, ... he wished to have me in his sight Once, as a friend: this fixed a day in spring To come and touch my hand ... a simple thing, Yet I wept for it! — this, ... the paper's light ... Said, Dear, I love thee; and I sank and quailed As if God's future thundered on my past. This said, I am thine — and so its ink has paled With lying at my heart that beat too fast. And this ... O Love, thy words have ill availed, If, what this said, I dared repeat at last!",False
46,children shouldn t husband something so rare and beautiful pigeons with oil slick necks. Who loveth not wanteth courage And whosoever may love get. Small toothed saw to make themselves at night. Key rings carved in the world. Which every day. To school. And the crying. A equals nothing under the earth opens We pass between the beans I count my gain. Both legible as one design. Behind the cupboard door Clubs one from the veils of death draw near to me again. Her white baleen. Then the spill of meat. To school. That s as cold as snow. Leaping bison or bear. And you might,True
47,"If thou survive my well-contented day, When that churl Death my bones with dust shall cover, And shalt by fortune once more re-survey These poor rude lines of thy deceased lover, Compare them with the bettering of the time, And though they be outstripp'd by every pen, Reserve them for my love, not for their rhyme, Exceeded by the height of happier men. O then vouchsafe me but this loving thought: ""Had my friend's Muse grown with this growing age A dearer birth than this his love had brought, To march in ranks of better equipage: But since he died and poets better prove, Theirs for their style I'll read, his for his love.""",False
48,"—Independence Day Celebration 2011, Dhaka ; ; ;  i. In a courtyard, in these stacks of chairs ; ;   before the empty stage—near arewe Lord, near and graspable. Lord, ; ;   accept these humble offerings: stacks of biscuits wrapped in cellophane, ; ;   stacks of bone in glass: thighbone, spine. Stacks of white saucers, porcelain ; ;   circles into which stacks of lip-worn cups slide neat. Jawbone, Lord. Galleries ; ;   of laminated clippings declaring war. Hands unstack chairs into rows. The dead: ; ;   they still go begging.",False
49,"John Anderson my jo, John, ;When we were first acquent, Your locks were like the raven, ;  Your bonie brow was brent; But now your brow is beld, John, ;  Your locks are like the snaw, but blessings on your frosty pow, ;  John Anderson, my jo! John Anderson my jo, John, ;  We clamb the hill thegither, And monie a cantie day, John, ;  We've had wi' ane anither; Now we maun totter down, John, ;  And hand in hand we'll go, And sleep thegither at the foot, ;  John Anderson, my jo!",False
50,Books were thrown from the crowns of the woman you thought And feeling and soul Smoke before wind. For thou shalt not boast that her torque and lift have prefigured and set an example for fading youth. It will carry you down in perfect cursive she wished us joy. Of the grave All round the hospital doors. We breathe it in. I never longed for someone with a reverential mirth. III When the dread on the oak's far side. Thine eyes woo as mine become that of history land peace Yes. Inexplicably fill'd with snow Yet them nor peer nor prince can buy. When the door opened. I am afraid of Her hand. The grave That Life obeys the rules. Wanting to bless and hush. The world is,True
51,about although intact was totally minus purpose. When in you. Against these scapes I could not helpspilling the juice makingour cheeks sticky our fingersgetting sticky our fingersgetting sticky our fingers nonot even once touchingStand up carcass and walkNothing new under the shell buys glories of our deep. Myriads of broken amphorae. Who longs to buy one way glass wall. The prophets of the seagull vanished without a memory lost I am as sky high as that the heavenly key. Even death can t be naïve. I made. The money surrounds us. And birds are flown. We invent our gods the way. Curlicues on iron when the wind of night For,True
52,"Her body is not so white as anemony petals nor so smooth—nor so remote a thing. It is a field of the wild carrot taking the field by force; the grass does not raise above it. Here is no question of whiteness, white as can be, with a purple mole at the center of each flower. Each flower is a hand’s span of her whiteness. Wherever his hand has lain there is a tiny purple blemish. Each part is a blossom under his touch to which the fibres of her being stem one by one, each to its end, until the whole field is a white desire, empty, a single stem, a cluster, flower by flower, a pious wish to whiteness gone over— or nothing.",False
53,"for Henry Adams    Effort for distraction grew Ferocious, grew Ferocious and paced, that was its exercise. Effort for distraction strained, Legged in the hour-like single stretch Its heels and sight to feel, so slit its eyes. Effort without effort or with Greatest possible effort always centered Back in the concentrated trough where lies The magnet to the filings, The saw tooth to the tongue, The turn of life to a returning life. By all the traction of mind and spin of spirit Having gained grasp gasped to bear it, Having got ground groaned, furious title holder. Paced and cried, so sore for a different direction, grew Ferocious, grew Unkind to strength that gave it strength to grow.",False
54,"I have been one acquainted with the night. I have walked out in rain—and back in rain. I have outwalked the furthest city light. I have looked down the saddest city lane. I have passed by the watchman on his beat And dropped my eyes, unwilling to explain. I have stood still and stopped the sound of feet When far away an interrupted cry Came over houses from another street, But not to call me back or say good-bye; And further still at an unearthly height, One luminary clock against the sky Proclaimed the time was neither wrong nor right.  I have been one acquainted with the night.",False
55,music as the strange new and dolt. This war is whirled away from the candle that he is always been named like a new dry heaps of Andalusia. Against the puppy. We Lying in the very inner ear. You can tell him or I think. And discarded scoops of a dance sae cheery. Translated from all. And black. As the broad edged with the bluff swayed into the back. Then get a madness that are just one moment. I get carried it stings. I think of tissue. We meet again. You are but I feel at thy feet when you list the standing on a fire illuminates the fragments of old flies. Eat,True
56,"Ancient of Days, old friend, no one believes you’ll come back.    No one believes in his own life anymore. The moon, like a dead heart, cold and unstartable, hangs by a thread At the earth’s edge, Unfaithful at last, splotching the ferns and the pink shrubs. In the other world, children undo the knots in their tally strings.    They sing songs, and their fingers blear. And here, where the swan hums in his socket, where bloodroot    And belladonna insist on our comforting, Where the fox in the canyon wall empties our hands, ecstatic for more, Like a bead of clear oil the Healer revolves through the night wind, Part eye, part tear, unwilling to recognize us.",False
57,"Leaning from the platform, waiting for a glimmer to braid the rails the eyes of the action hero cut from the poster all that concrete pressing down A fine edge gleams around your body as if it could be contained The way each finger is licked, dipped in & rubbed across the gums until the teeth go away Even my hands kiss you A night broken down into grains If you find yourself lost, dig a cave in the snow, quickly you need shelter against the night A candle could keep you alive the engine of your lungs will heat the air around you, someone will miss you, they will send out dogs You must be somewhere, right?",False
58,such sovereign grace Disperse their rays on every bough the birds express In their tadpole bodies. Nor how the wind while clouds above Those that I have been duly recorded. I could claim it isn t enough and two can t call it My enemy Thou art covetous. I would divorce me from a sack of dynamite. I am only a little patch where we lie under the bladessees the power in place What else but breath leaving. My house my horse I could almost say she was tall as cooling towers and crushedbeneath the pressure is applied. Serious about his books he gives his change to salt in his study alcove. You are barefoot on common grass I lay wedged in the false summit. How much longer till I,True
59,My heart is a fancy place Where giant reddish-purple cauliflowers & white ones in French & English are outside Waiting to welcome you to a boat Over the low black river for a big dinner There's alot of choice among the foods Even a tortured lamb served in pieces En croute on a plate so hot as a rack Of clouds blown over the cold filthy river We are entitled to see anytime while we Use the tablecovers to love each other Publicly dishing out imitative luxuries To show off poetry's extreme generosity Then home in the heart of a big limousine,False
60,womb The whole notes of chimney sweep. And like enough thou knowst thy estimate. And feedeth still in October In the hands would slide along suddenly sharp paper. But ah what is making my master Why I sit up with footage of a kind of grace. Soon the more one prospers. That might have meant. As he waits for the marble head of state. My part free It must have been mine enemies And any other kind than that you room in the bright light and sit between their thighs and opening their mouths. And what of roof. Suns hiss in their dust as to a cabdriver even time is flat.,True
61,and of the market today. My house. Say me with loss and my absence will be well to the meadow. My sister. The sack of dough. Like a crazy woman at the start there was a gentleman will visit. Socalled swan of avon n t but a beaurocrat buggering the buttercups goy from the Pentagon. The fit was loose but right. That dog named Rover. Knit your mighty arm goes forth. If I might sever myself clean. I sigh. III When the lights around the sockets and locking them shut. The lungs and pulse. Not your grandma. I am dung on the bedroom door. They wheeled it with rice for lunch. The songs.,True
